Vegetable,Season,Month,Temperature,Disaster Events,Vegetable Condition,Price per kg
Radish,Spring,7,37.04414752,Yes,scrap,49.4
Ginger,Winter,10,15.23339699,Yes,average,78
Bitter gourd,Summer,4,20.58633545,Yes,wilted,32.5
Radish,Winter,3,21.26523933,No,scrap,38
Okra,Winter,11,23.4187462,No,scrap,20
Potato,Summer,1,33.70497448,Yes,average,36.4
Peas,Summer,3,34.06433134,No,fresh,85
Potato,Summer,11,31.5896522,Yes,scrap,36.4
Onion,Summer,9,10.66386023,No,fresh,25
Cauliflower,Summer,9,26.94535307,No,wilted,20
Cucumber,Winter,7,32.42478868,No,average,30
Garlic,Monsoon,3,23.3387572,No,fresh,80
Chilly,Monsoon,3,38.34808136,Yes,scrap,45.5
Peas,Autumn,4,34.71431566,Yes,average,110.5
Potato,Monsoon,7,29.14465196,Yes,average,36.4
Onion,Monsoon,7,11.87275551,No,average,25
Onion,Winter,12,29.57038743,No,average,25
Peas,Summer,12,37.34738804,Yes,average,110.5
Garlic,Summer,2,21.38336161,No,wilted,80
Cauliflower,Winter,12,35.14397577,No,wilted,20
Brinjal,Monsoon,5,19.39483429,Yes,average,52
Pumpkin,Winter,7,27.10309875,No,scrap,40
Potato,Autumn,7,29.45273255,Yes,scrap,36.4
Pointed grourd,Summer,6,30.33985113,No,wilted,35
Garlic,Spring,10,36.47647943,Yes,fresh,104
Brinjal,Autumn,10,17.03866801,No,average,40
Potato,Autumn,12,17.87108756,No,scrap,28
Pumpkin,Winter,8,31.1212298,No,wilted,40
Tomato,Monsoon,3,15.31581437,No,wilted,30
Okra,Summer,1,23.92811215,No,fresh,20
Tomato,Spring,3,10.60103152,Yes,fresh,39
Ginger,Autumn,11,14.22938011,No,scrap,60
Brinjal,Spring,2,30.36539155,Yes,fresh,52
Potato,Monsoon,2,32.4238481,Yes,fresh,36.4
Cabbage,Monsoon,2,13.459571,Yes,average,39
Radish,Spring,5,16.83128651,No,wilted,38
Cucumber,Summer,1,12.9671334,Yes,wilted,39
Garlic,Monsoon,10,23.00238532,No,fresh,80
Onion,Spring,4,13.78348212,No,wilted,25
Okra,Autumn,10,23.11888052,No,wilted,20
Brinjal,Spring,5,31.96294767,Yes,scrap,52
Radish,Spring,2,30.50165899,No,wilted,35
Chilly,Winter,5,18.41381461,No,fresh,35
Cauliflower,Monsoon,10,30.21287648,No,scrap,20
Cauliflower,Summer,4,37.83136393,Yes,wilted,26
Cauliflower,Summer,8,20.42573161,Yes,wilted,26
Tomato,Winter,1,19.87357461,Yes,scrap,39
Pointed grourd,Summer,12,27.14315954,Yes,scrap,45.5
Tomato,Spring,5,17.36505433,No,wilted,30
Onion,Winter,11,29.54736784,Yes,average,32.5
Bitter gourd,Autumn,12,34.96785312,No,average,25
Pumpkin,Monsoon,10,23.77955515,Yes,wilted,52
Radish,Monsoon,1,30.38521975,No,wilted,35
Pointed grourd,Monsoon,10,29.55656272,Yes,scrap,45.5
Cauliflower,Spring,10,11.15996686,Yes,scrap,26
Cabbage,Autumn,4,15.50248886,Yes,wilted,39
Pointed grourd,Winter,8,36.80590005,No,wilted,35
Garlic,Winter,1,38.16676442,No,wilted,80
Peas,Monsoon,11,33.4131892,Yes,wilted,110.5
Bitter gourd,Autumn,2,37.63744445,Yes,average,32.5
Cucumber,Autumn,1,19.18445953,Yes,scrap,39
Radish,Autumn,11,17.43132915,Yes,fresh,45.5
Radish,Summer,7,21.52900563,Yes,wilted,45.5
Peas,Summer,2,11.66025996,Yes,wilted,110.5
Brinjal,Monsoon,1,34.29614857,No,wilted,40
Pumpkin,Autumn,12,39.52526455,No,fresh,40
Brinjal,Autumn,6,34.72087877,No,scrap,40
Cauliflower,Winter,6,26.64926005,No,scrap,20
Tomato,Winter,10,18.85845911,No,wilted,30
Cabbage,Monsoon,2,15.93093666,No,wilted,30
Potato,Autumn,1,20.92188615,Yes,scrap,36.4
Okra,Monsoon,10,30.00908589,Yes,fresh,26
Garlic,Winter,3,23.41184667,Yes,wilted,104
Radish,Winter,10,38.0217946,Yes,fresh,45.5
Peas,Summer,5,35.62661029,Yes,fresh,110.5
Brinjal,Monsoon,6,13.07201848,No,scrap,40
Radish,Monsoon,3,13.94575672,No,wilted,35
Pumpkin,Autumn,9,30.28717556,No,average,40
Peas,Autumn,11,16.9230517,No,scrap,85
Cabbage,Summer,5,33.73089631,No,scrap,30
Tomato,Spring,2,27.74074427,Yes,average,39
Pointed grourd,Spring,10,16.89491583,No,wilted,35
Radish,Spring,6,24.36060392,No,fresh,35
Radish,Monsoon,12,22.18228877,No,fresh,38
Chilly,Monsoon,8,36.19478078,Yes,fresh,45.5
Cucumber,Winter,11,10.96487425,Yes,wilted,39
Chilly,Monsoon,6,36.87531671,Yes,scrap,45.5
Cabbage,Monsoon,4,29.56248049,Yes,scrap,39
Bitter gourd,Monsoon,6,32.12614563,Yes,scrap,32.5
Cucumber,Summer,8,10.0782239,Yes,scrap,39
Radish,Monsoon,8,28.84718302,No,scrap,35
Brinjal,Autumn,10,27.65458491,No,average,40
Cabbage,Autumn,2,26.11616669,No,fresh,30
Tomato,Winter,8,33.5760057,Yes,fresh,39
Pointed grourd,Summer,6,26.67613289,Yes,wilted,45.5
Radish,Autumn,2,35.71291569,Yes,average,45.5
Pointed grourd,Summer,1,16.97894459,Yes,scrap,45.5
Radish,Summer,6,34.17947767,No,scrap,38
Ginger,Winter,7,15.37938318,Yes,scrap,78
Pumpkin,Summer,10,34.39353376,Yes,average,52
Tomato,Monsoon,5,38.21390556,Yes,wilted,39
Ginger,Summer,10,20.07082427,Yes,average,78
Radish,Winter,8,25.89658942,Yes,wilted,45.5
Pumpkin,Winter,11,29.74987069,No,fresh,40
Garlic,Winter,12,12.38414998,Yes,wilted,104
Cabbage,Autumn,9,24.82242155,Yes,fresh,39
Pointed grourd,Monsoon,4,20.8175493,No,wilted,35
Cabbage,Autumn,7,36.17366894,Yes,fresh,39
Pumpkin,Spring,8,36.30038556,Yes,fresh,52
Radish,Monsoon,6,31.02338619,No,scrap,35
Pumpkin,Summer,2,29.67173424,No,wilted,40
Garlic,Winter,7,32.01065378,No,scrap,80
Tomato,Spring,9,20.97960703,No,fresh,30
Pointed grourd,Monsoon,5,22.1355774,No,scrap,35
Cauliflower,Autumn,2,26.61114169,No,average,20
Okra,Winter,4,38.14084382,No,scrap,20
Cucumber,Autumn,3,31.71999622,No,wilted,30
Radish,Monsoon,4,26.52967733,No,scrap,38
Brinjal,Monsoon,10,33.11239045,No,average,40
Ginger,Spring,7,21.12670937,Yes,scrap,78
Peas,Summer,10,31.91400103,No,fresh,85
Potato,Autumn,8,22.32028745,No,fresh,28
Tomato,Spring,1,18.38984221,No,fresh,30
Ginger,Winter,8,28.29172143,No,wilted,60
Pumpkin,Summer,5,30.60632679,No,scrap,40
Radish,Spring,12,23.77880684,Yes,fresh,45.5
Cucumber,Autumn,7,26.96502194,Yes,scrap,39
Peas,Monsoon,11,30.82198225,Yes,average,110.5
Potato,Winter,11,33.03130155,No,average,28
Bitter gourd,Autumn,1,36.86714437,No,wilted,25
Cucumber,Summer,2,20.63632619,Yes,scrap,39
Okra,Summer,1,38.54431759,No,average,20
Ginger,Monsoon,5,29.1183943,No,wilted,60
Peas,Monsoon,6,33.63105648,Yes,wilted,110.5
Okra,Winter,10,30.9930713,No,fresh,20
Tomato,Winter,9,16.16715176,No,average,30
Pointed grourd,Monsoon,8,12.14315149,No,scrap,35
Pumpkin,Monsoon,7,31.78859392,No,average,40
Radish,Summer,12,25.33158003,No,average,35
Radish,Monsoon,5,31.06640105,No,scrap,38
Bitter gourd,Spring,3,24.30528412,No,scrap,25
Onion,Autumn,9,19.36703561,Yes,fresh,32.5
Ginger,Monsoon,5,18.55053728,Yes,wilted,78
Bitter gourd,Winter,3,31.91596393,No,scrap,25
Brinjal,Spring,3,18.30340244,No,scrap,40
Bitter gourd,Winter,3,31.44030613,Yes,average,32.5
Bitter gourd,Spring,6,21.51880379,Yes,scrap,32.5
Okra,Monsoon,1,33.12695213,Yes,scrap,26
Potato,Autumn,11,14.28429777,Yes,average,36.4
Bitter gourd,Winter,4,16.1493983,Yes,average,32.5
Potato,Spring,8,30.57734817,Yes,average,36.4
Garlic,Summer,3,26.80693361,Yes,fresh,104
Brinjal,Monsoon,5,16.11635028,No,wilted,40
Cucumber,Autumn,2,37.08481035,Yes,scrap,39
Garlic,Monsoon,2,18.27832442,Yes,average,104
Pumpkin,Summer,11,22.63214195,Yes,average,52
Radish,Autumn,7,16.06863826,No,wilted,35
Brinjal,Summer,10,21.64082855,No,fresh,40
Onion,Monsoon,3,24.7494025,No,scrap,25
Pointed grourd,Spring,5,18.85741164,Yes,fresh,45.5
Tomato,Monsoon,3,33.0728102,Yes,fresh,39
Ginger,Monsoon,6,21.81798936,Yes,fresh,78
Peas,Monsoon,10,31.8853,No,average,85
Cabbage,Winter,3,16.21216526,No,wilted,30
Cucumber,Summer,8,21.3110649,No,wilted,30
Okra,Summer,2,10.24174867,No,wilted,20
Cucumber,Summer,3,32.75912752,No,fresh,30
Okra,Winter,8,28.77659933,No,scrap,20
Garlic,Spring,8,34.53469975,Yes,fresh,104
Okra,Monsoon,1,23.66832364,No,wilted,20
Pointed grourd,Spring,8,33.99221931,No,average,35
Ginger,Winter,10,29.42747633,No,fresh,60
Ginger,Summer,2,10.10838798,No,average,60
Radish,Monsoon,12,17.61082885,Yes,wilted,45.5
Garlic,Autumn,7,24.81674057,Yes,fresh,104
Peas,Autumn,6,28.56062049,No,average,85
Radish,Spring,2,11.96772594,Yes,fresh,49.4
Cauliflower,Summer,5,31.15239785,Yes,wilted,26
Cucumber,Autumn,7,26.30608293,Yes,scrap,39
Cabbage,Spring,8,25.7733792,Yes,wilted,39
Okra,Winter,3,18.76136674,Yes,scrap,26
Onion,Spring,1,27.84469298,Yes,scrap,32.5
Pumpkin,Spring,7,10.82478669,Yes,wilted,52
Peas,Spring,5,11.94100992,No,average,85
Pointed grourd,Monsoon,5,32.01610262,Yes,fresh,45.5
Pointed grourd,Spring,7,19.65674028,No,fresh,35
Potato,Spring,1,20.40901227,Yes,fresh,36.4
Potato,Monsoon,8,16.2515561,Yes,scrap,36.4
Pumpkin,Monsoon,12,23.36862076,Yes,scrap,52
Cauliflower,Winter,10,11.55980294,No,wilted,20
Potato,Summer,5,19.01089671,Yes,average,36.4
Ginger,Autumn,8,25.81371765,No,wilted,60
Pointed grourd,Autumn,10,23.96895765,Yes,wilted,45.5
Cucumber,Spring,10,39.99008929,Yes,average,39
Chilly,Winter,5,21.66293956,No,scrap,35
Okra,Spring,12,21.60997178,Yes,wilted,26
Cabbage,Autumn,7,25.10745332,Yes,wilted,39
Onion,Monsoon,10,15.70909331,Yes,scrap,32.5
Cabbage,Summer,3,36.28913269,No,fresh,30
Radish,Winter,2,27.16803367,Yes,average,45.5
Bitter gourd,Monsoon,6,15.76322918,Yes,average,32.5
Garlic,Summer,5,33.80324774,Yes,fresh,104
Pointed grourd,Winter,9,11.02996513,No,average,35
Tomato,Winter,10,39.47692602,Yes,fresh,39
Chilly,Autumn,4,35.95448004,No,wilted,35
Cauliflower,Monsoon,11,27.38918367,Yes,average,26
Pointed grourd,Winter,3,13.33886988,Yes,average,45.5
Tomato,Winter,9,16.4581832,No,wilted,30
Okra,Summer,8,18.38305511,No,scrap,20
Cauliflower,Autumn,6,17.23095214,No,scrap,20
Brinjal,Spring,1,24.92560031,No,wilted,40
Cauliflower,Autumn,10,38.33681111,No,average,20
Brinjal,Spring,12,23.32517754,Yes,average,52
Radish,Monsoon,11,29.84693705,Yes,average,45.5
Brinjal,Monsoon,1,30.65749618,No,fresh,40
Cauliflower,Winter,12,36.14742176,Yes,scrap,26
Cucumber,Monsoon,6,11.01463863,Yes,average,39
Garlic,Winter,3,22.12990178,No,scrap,80
Onion,Autumn,3,33.54205342,No,scrap,25
Pointed grourd,Monsoon,6,34.44601045,No,average,35
Cabbage,Autumn,3,37.81997846,Yes,wilted,39
Potato,Autumn,11,31.08383079,No,wilted,28
Ginger,Monsoon,10,17.35461838,Yes,scrap,78
Radish,Autumn,6,25.16997229,No,fresh,35
Bitter gourd,Monsoon,5,10.97035864,No,scrap,25
Cabbage,Monsoon,4,29.40785023,No,scrap,30
Ginger,Monsoon,8,26.62885635,No,wilted,60
Cauliflower,Spring,2,30.00508842,Yes,average,26
Radish,Autumn,12,37.9042166,Yes,average,49.4
Onion,Summer,11,30.61829835,Yes,fresh,32.5
Pointed grourd,Monsoon,7,19.61349791,No,wilted,35
Pumpkin,Autumn,4,15.96209992,Yes,wilted,52
Pumpkin,Winter,2,35.6390862,Yes,scrap,52
Brinjal,Monsoon,7,15.8299643,Yes,wilted,52
Chilly,Monsoon,1,14.84828742,No,scrap,35
Chilly,Summer,4,16.19836242,Yes,fresh,45.5
Cucumber,Spring,9,25.26522544,No,wilted,30
Potato,Spring,4,13.72562329,No,wilted,28
Okra,Monsoon,12,38.14354992,Yes,scrap,26
Radish,Autumn,3,38.98761122,Yes,wilted,45.5
Pumpkin,Winter,10,39.2140556,No,average,40
Garlic,Winter,10,11.17374414,No,fresh,80
Brinjal,Autumn,2,38.38592579,No,average,40
Garlic,Monsoon,3,39.92244798,Yes,scrap,104
Cucumber,Winter,1,38.27287328,No,scrap,30
Tomato,Spring,10,30.12816717,No,scrap,30
Brinjal,Autumn,8,31.03690457,No,fresh,40
Cabbage,Summer,1,13.6675882,Yes,wilted,39
Chilly,Monsoon,3,36.22891231,No,average,35
Chilly,Autumn,3,11.78918754,No,wilted,35
Bitter gourd,Winter,2,19.5319164,No,scrap,25
Ginger,Monsoon,5,39.73454935,No,wilted,60
Pointed grourd,Spring,10,22.66983637,No,fresh,35
Cauliflower,Monsoon,3,13.93468672,Yes,scrap,26
Potato,Monsoon,3,39.07883986,Yes,wilted,36.4
Radish,Spring,8,39.52418941,No,average,35
Peas,Spring,4,15.61128056,No,scrap,85
Onion,Monsoon,4,35.94411426,No,scrap,25
Cabbage,Spring,3,21.71269979,No,fresh,30
Pumpkin,Autumn,11,21.44105393,No,fresh,40
Radish,Spring,1,17.88092896,No,average,38
Onion,Spring,8,11.34130824,Yes,wilted,32.5
Onion,Monsoon,1,18.04026951,No,wilted,25
Pointed grourd,Autumn,7,11.61330716,No,scrap,35
Okra,Summer,5,37.73116139,Yes,scrap,26
Bitter gourd,Summer,4,29.85162017,Yes,wilted,32.5
Chilly,Winter,4,36.5986795,Yes,wilted,45.5
Ginger,Spring,8,31.51872044,Yes,wilted,78
Peas,Spring,11,13.93860613,No,scrap,85
Pointed grourd,Autumn,11,38.2174461,Yes,fresh,45.5
Bitter gourd,Summer,6,36.99679161,Yes,fresh,32.5
Peas,Winter,12,20.44228234,Yes,average,110.5
Chilly,Autumn,1,13.34600021,No,wilted,35
Radish,Spring,10,31.12464252,No,wilted,35
Chilly,Summer,8,31.85083908,No,wilted,35
Pointed grourd,Winter,2,36.90487135,Yes,average,45.5
Chilly,Monsoon,6,11.57967278,No,wilted,35
Tomato,Summer,9,14.25111514,Yes,fresh,39
Tomato,Winter,1,27.94746379,Yes,wilted,39
Pointed grourd,Autumn,6,28.57394653,Yes,average,45.5
Radish,Monsoon,8,11.00828987,Yes,scrap,45.5
Radish,Winter,10,21.90796153,No,scrap,35
Cucumber,Winter,2,27.52485194,No,fresh,30
Pointed grourd,Spring,5,32.13733999,No,fresh,35
Pumpkin,Summer,6,19.48452075,No,fresh,40
Brinjal,Spring,5,24.51710479,Yes,scrap,52
Okra,Monsoon,3,34.42164617,Yes,wilted,26
Chilly,Winter,4,38.61685192,Yes,average,45.5
Bitter gourd,Spring,7,16.90944026,Yes,average,32.5
Cabbage,Summer,4,17.59126617,Yes,wilted,39
Cucumber,Monsoon,9,38.19454562,No,scrap,30
Chilly,Autumn,11,21.87733452,No,scrap,35
Chilly,Spring,12,31.55044974,Yes,average,45.5
Bitter gourd,Monsoon,10,28.36795686,Yes,fresh,32.5
Tomato,Autumn,2,18.56763039,No,fresh,30
Pumpkin,Spring,5,29.60686666,No,average,40
Pointed grourd,Monsoon,8,29.66697703,Yes,average,45.5
Onion,Monsoon,5,27.77329556,No,wilted,25
Peas,Spring,10,12.98982475,No,wilted,85
Brinjal,Monsoon,12,39.85515467,Yes,wilted,52
Garlic,Winter,8,22.01249384,Yes,wilted,104
Radish,Spring,8,29.14752956,No,wilted,35
Peas,Monsoon,9,36.57285082,No,wilted,85
Pointed grourd,Autumn,10,22.69865465,Yes,fresh,45.5
Cucumber,Autumn,6,33.2177517,No,average,30
Potato,Winter,12,39.15473274,No,scrap,28
Radish,Spring,4,20.76804281,No,wilted,38
Onion,Monsoon,12,22.15808711,Yes,fresh,32.5
Ginger,Monsoon,11,37.16728177,No,average,60
Bitter gourd,Autumn,3,14.78928603,No,average,25
Ginger,Winter,12,10.85784515,Yes,average,78
Cucumber,Autumn,5,37.26667015,Yes,wilted,39
Chilly,Autumn,6,34.64774722,No,wilted,35
Radish,Winter,3,39.17749098,Yes,scrap,45.5
Radish,Spring,2,11.74713348,Yes,wilted,45.5
Brinjal,Monsoon,7,14.68531991,No,average,40
Bitter gourd,Spring,11,13.15937677,Yes,average,32.5
Peas,Summer,5,30.50248397,No,fresh,85
Onion,Summer,9,28.18030221,No,fresh,25
Tomato,Summer,3,20.78005598,Yes,scrap,39
Ginger,Winter,8,11.72270438,No,fresh,60
Radish,Autumn,6,29.18985952,No,scrap,35
Ginger,Spring,4,27.10361455,No,fresh,60
Tomato,Monsoon,12,13.38709633,No,average,30
Pointed grourd,Summer,12,37.26729113,No,wilted,35
Ginger,Spring,9,15.96849129,Yes,wilted,78
Pumpkin,Summer,5,32.30527456,Yes,scrap,52
Cauliflower,Summer,10,36.55227588,No,wilted,20
Bitter gourd,Monsoon,6,27.38424972,No,wilted,25
Bitter gourd,Winter,9,17.40546716,Yes,fresh,32.5
Radish,Autumn,7,19.27745553,No,average,38
Pumpkin,Winter,12,36.57242601,No,wilted,40
Radish,Spring,5,18.94771469,No,average,38
Chilly,Winter,2,32.3857145,Yes,fresh,45.5
Okra,Spring,4,39.70495637,No,fresh,20
Brinjal,Spring,2,39.99450158,Yes,wilted,52
Cucumber,Autumn,3,26.00439245,No,wilted,30
Okra,Monsoon,10,34.7966739,No,fresh,20
Bitter gourd,Autumn,12,39.70749604,Yes,fresh,32.5
Okra,Winter,3,21.2401867,Yes,scrap,26
Radish,Spring,4,17.57228755,No,scrap,38
Potato,Summer,6,13.42700068,No,average,28
Okra,Summer,12,14.22698914,No,fresh,20
Potato,Spring,3,35.60669091,Yes,average,36.4
Okra,Autumn,10,27.66169271,No,fresh,20
Peas,Monsoon,1,36.21127526,Yes,average,110.5
Cauliflower,Autumn,1,33.68365267,No,scrap,20
Brinjal,Spring,9,30.2123389,No,fresh,40
Cucumber,Spring,9,28.27936576,No,fresh,30
Pumpkin,Monsoon,5,11.45016713,No,average,40
Cauliflower,Winter,9,36.16825588,No,average,20
Cucumber,Winter,11,22.53526185,No,wilted,30
Cucumber,Monsoon,7,26.79360571,No,wilted,30
Brinjal,Winter,9,10.65860506,Yes,scrap,52
Potato,Summer,12,38.08220506,No,fresh,28
Okra,Winter,7,37.08221383,No,fresh,20
Potato,Winter,9,26.2983409,No,average,28
Peas,Winter,2,27.319349,No,scrap,85
Bitter gourd,Summer,11,31.15051637,Yes,fresh,32.5
Garlic,Winter,11,17.94084689,Yes,scrap,104
Radish,Summer,8,16.65746868,No,wilted,35
Bitter gourd,Monsoon,7,30.2206884,No,average,25
Pointed grourd,Autumn,6,13.13267338,Yes,fresh,45.5
Garlic,Monsoon,5,23.62186014,Yes,average,104
Radish,Autumn,4,24.78281272,Yes,wilted,45.5
Bitter gourd,Monsoon,7,21.44010931,No,scrap,25
Tomato,Autumn,3,15.55804527,Yes,scrap,39
Tomato,Autumn,8,20.65948793,Yes,wilted,39
Cabbage,Spring,2,20.12671761,No,wilted,30
Pointed grourd,Autumn,1,24.97797024,No,fresh,35
Cucumber,Autumn,11,30.24042525,No,fresh,30
Peas,Spring,2,39.04705371,Yes,fresh,110.5
Cabbage,Winter,9,14.32489781,Yes,fresh,39
Ginger,Winter,5,36.1905133,Yes,fresh,78
Pumpkin,Spring,11,18.52534001,Yes,scrap,52
Pumpkin,Summer,8,27.7411831,No,fresh,40
Onion,Autumn,3,26.40210844,Yes,wilted,32.5
Brinjal,Autumn,7,26.70845256,No,wilted,40
Pumpkin,Spring,2,31.70075835,Yes,fresh,52
Okra,Spring,8,21.45064917,Yes,wilted,26
Cabbage,Summer,7,19.5729989,Yes,average,39
Ginger,Winter,12,35.5850372,No,scrap,60
Radish,Monsoon,5,16.60285121,Yes,scrap,49.4
Brinjal,Winter,12,15.40738112,No,fresh,40
Cucumber,Autumn,11,10.4682231,No,average,30
Pointed grourd,Spring,4,16.31733346,No,fresh,35
Chilly,Summer,1,25.555943,No,fresh,35
Brinjal,Winter,5,26.15526619,Yes,wilted,52
Radish,Summer,12,17.63261474,Yes,scrap,49.4
Chilly,Winter,9,12.1682251,No,average,35
Radish,Autumn,10,32.33922389,No,wilted,35
Pointed grourd,Monsoon,4,32.73926046,Yes,scrap,45.5
Cauliflower,Summer,9,39.93509189,Yes,scrap,26
Radish,Summer,12,37.00088712,No,fresh,35
Peas,Monsoon,2,37.78186194,Yes,average,110.5
Radish,Summer,4,33.94611477,Yes,fresh,49.4
Cucumber,Summer,9,28.4650856,Yes,wilted,39
Pumpkin,Winter,4,13.85637873,No,fresh,40
Pointed grourd,Winter,5,28.66939892,No,fresh,35
Peas,Monsoon,11,11.67867581,No,scrap,85
Potato,Autumn,8,36.55897334,No,scrap,28
Peas,Summer,1,24.45464006,No,wilted,85
Radish,Autumn,1,30.92418496,Yes,scrap,49.4
Radish,Monsoon,9,11.56730991,Yes,scrap,45.5
Radish,Monsoon,9,26.02745269,Yes,scrap,45.5
Cauliflower,Winter,4,19.03790194,No,fresh,20
Peas,Summer,2,18.54904797,Yes,average,110.5
Radish,Spring,9,21.68967744,No,wilted,35
Cauliflower,Monsoon,4,10.01918383,No,fresh,20
Potato,Summer,6,23.99982645,No,wilted,28
Brinjal,Autumn,12,24.59700051,No,fresh,40
Pumpkin,Winter,1,35.89392748,No,wilted,40
Cauliflower,Autumn,12,23.45576824,No,scrap,20
Radish,Monsoon,9,20.90668882,Yes,wilted,49.4
Pumpkin,Monsoon,5,39.84241154,No,average,40
Radish,Autumn,3,27.13639974,Yes,wilted,45.5
Cabbage,Monsoon,4,24.17839626,No,average,30
Ginger,Summer,1,24.87807504,Yes,wilted,78
Radish,Monsoon,9,34.27543893,No,scrap,38
Onion,Winter,8,20.22029107,No,wilted,25
Cauliflower,Summer,4,21.67481388,Yes,fresh,26
Brinjal,Spring,2,32.67620078,No,scrap,40
Tomato,Monsoon,9,12.18951219,No,scrap,30
Potato,Monsoon,4,35.95507474,Yes,fresh,36.4
Cauliflower,Winter,9,22.90608089,Yes,scrap,26
Peas,Winter,10,27.43878927,No,scrap,85
Garlic,Autumn,3,32.72428478,Yes,fresh,104
Pointed grourd,Autumn,7,17.98155767,Yes,scrap,45.5
Onion,Autumn,7,36.70942625,No,scrap,25
Garlic,Winter,10,39.37674917,Yes,scrap,104
Potato,Autumn,4,24.82823084,No,scrap,28
Garlic,Autumn,2,38.10812095,Yes,wilted,104
Tomato,Spring,11,10.03385868,No,scrap,30
Onion,Autumn,9,36.82713489,No,scrap,25
Onion,Monsoon,4,19.33135959,No,scrap,25
Cauliflower,Winter,8,19.34486274,Yes,wilted,26
Cauliflower,Summer,2,16.84266594,No,average,20
Garlic,Spring,8,19.51041703,Yes,scrap,104
Bitter gourd,Winter,11,16.40453751,No,average,25
Pointed grourd,Winter,10,37.17607319,No,average,35
Potato,Monsoon,5,36.97071182,No,fresh,28
Onion,Autumn,7,13.06633945,Yes,fresh,32.5
Radish,Monsoon,7,14.28575287,No,average,35
Potato,Autumn,12,35.86055917,No,wilted,28
Okra,Autumn,9,21.96813313,Yes,scrap,26
Okra,Winter,3,15.07815032,No,scrap,20
Radish,Autumn,10,25.32008207,No,scrap,35
Onion,Spring,4,22.5000415,Yes,fresh,32.5
Onion,Spring,10,16.57484661,Yes,fresh,32.5
Ginger,Spring,4,31.62256655,Yes,scrap,78
Radish,Winter,10,28.93867937,No,average,38
Tomato,Monsoon,5,12.98984841,Yes,fresh,39
Chilly,Summer,6,37.76160143,No,scrap,35
Cauliflower,Autumn,3,26.75409897,No,average,20
Cauliflower,Summer,4,17.50613461,Yes,scrap,26
Garlic,Monsoon,3,16.18875445,Yes,fresh,104
Onion,Monsoon,2,14.07843944,No,wilted,25
Cauliflower,Winter,10,22.73912219,Yes,wilted,26
Onion,Spring,12,14.06623039,Yes,fresh,32.5
Bitter gourd,Spring,9,22.47449238,No,average,25
Chilly,Monsoon,1,14.46311285,Yes,scrap,45.5
Radish,Winter,2,29.70422565,Yes,fresh,45.5
Tomato,Winter,8,33.55726065,Yes,average,39
Cabbage,Autumn,7,26.48568243,No,scrap,30
Pointed grourd,Spring,12,30.40170625,Yes,scrap,45.5
Brinjal,Monsoon,1,38.15136211,Yes,fresh,52
Bitter gourd,Summer,5,29.15114589,No,scrap,25
Tomato,Spring,10,20.92474595,No,wilted,30
Radish,Autumn,6,23.48440476,No,wilted,38
Chilly,Winter,5,35.81575678,No,scrap,35
Radish,Monsoon,4,13.92160957,Yes,fresh,45.5
Cabbage,Spring,1,19.77211067,No,scrap,30
Garlic,Summer,7,27.31840207,No,fresh,80
Peas,Autumn,9,30.29168708,Yes,fresh,110.5
Onion,Autumn,6,32.90497226,No,wilted,25
Okra,Spring,3,19.54620388,No,wilted,20
Pumpkin,Summer,10,14.37577402,Yes,average,52
Potato,Autumn,4,38.64517629,No,fresh,28
Brinjal,Monsoon,10,12.29176651,No,scrap,40
Cabbage,Autumn,5,12.87416067,Yes,fresh,39
Garlic,Summer,12,24.84827626,Yes,wilted,104
Cabbage,Winter,12,34.57813084,Yes,fresh,39
Onion,Winter,1,33.23512319,Yes,average,32.5
Garlic,Spring,5,38.13097799,Yes,scrap,104
Okra,Summer,1,14.24807727,Yes,fresh,26
Tomato,Autumn,9,21.27181771,Yes,scrap,39
Peas,Autumn,7,18.46426386,Yes,scrap,110.5
Garlic,Winter,3,35.82610371,Yes,wilted,104
Pumpkin,Winter,9,24.65063861,Yes,fresh,52
Cauliflower,Monsoon,2,10.80543803,Yes,scrap,26
Cucumber,Winter,12,31.23893221,Yes,wilted,39
Onion,Monsoon,7,21.66094293,No,average,25
Garlic,Autumn,9,25.9344029,Yes,average,104
Potato,Monsoon,6,36.81362281,Yes,fresh,36.4
Pumpkin,Monsoon,10,17.70213324,Yes,scrap,52
Cauliflower,Spring,5,17.20794027,Yes,fresh,26
Ginger,Winter,12,17.89577513,Yes,scrap,78
Chilly,Monsoon,7,20.14323974,No,wilted,35
Bitter gourd,Autumn,6,13.22061924,No,average,25
Cauliflower,Summer,5,30.91658982,No,average,20
Cabbage,Monsoon,2,16.22196153,No,average,30
Okra,Winter,8,37.78437242,Yes,average,26
Ginger,Spring,7,16.47058942,No,fresh,60
Bitter gourd,Autumn,6,17.66926088,No,scrap,25
Cucumber,Spring,5,18.91060686,Yes,fresh,39
Okra,Summer,5,33.05614291,No,wilted,20
Garlic,Monsoon,9,22.82819462,No,average,80
Cauliflower,Monsoon,1,34.58003872,Yes,scrap,26
Potato,Winter,9,33.54561137,Yes,fresh,36.4
Tomato,Monsoon,6,37.88471268,No,scrap,30
Brinjal,Autumn,4,32.69812465,Yes,fresh,52
Chilly,Summer,10,11.55733509,No,scrap,35
Pointed grourd,Spring,7,35.11843821,Yes,scrap,45.5
Ginger,Summer,9,38.1421779,No,average,60
